intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687674,inactive_max,slope,,,
-0.6251382953687674,inactive_min,slope,,,
12.223100099357017,inactive_max,intercept,,,
12.21432617504951,inactive_min,intercept,,,
-0.6251382953687672,active_high_max,slope,-0.638265456538838,-0.6168396816461762,-0.8898451902826322
-0.6251382953687675,active_high_min,slope,-0.6382654565388383,-0.6168396816461761,-0.8898451902826325
-0.6251382953687672,active_low_max,slope,-0.6382654565388381,-0.6168396816461762,-0.6888899625734665
-0.6251382953687675,active_low_min,slope,-0.6382654565388383,-0.6168396816461761,-0.6888899625734665
12.198003387047379,active_low_max,intercept,13.145988781310178,11.957741185390889,13.445799190257324
12.189229462739876,active_low_min,intercept,13.137214857002679,11.948967261083382,13.437025265949817
12.171430573544601,active_high_max,intercept,13.91436596807712,11.957741185390889,17.6354948635922
12.162656649237098,active_high_min,intercept,13.905592043769621,11.948967261083382,17.6267209392847
