Year,Month,Day,Time,Latitude,Longitude,Depth,mb,MS,Region,CMT Name,CMT Time,T Err,CMT Lat,Lat Err,CMT Lon,Lon Err,CMT Depth,Depth Err,Exponent,Mrr,Mrr Err,Mtt,Mtt Err,Mpp,Mpp Err,Mrt,Mrt Err,Mrp,Mrp Err,Mtp,Mtp Err,Eigenvalue 1,Plunge 1,Azimuth 1,Eigenvalue 2,Plunge 2,Azimuth 2,Eigenvalue 3,Plunge 3,Azimuth 3,Moment,Strike 1,Dip 1,Rake 1,Strike 2,Dip 2,Rake 2
"1976","1","13",13:29:19.5,66.16,-16.58,33,6,6.4,ICELANDREGION,C011376A,5.4,0.2,66.33,0.02,-16.29,0.04,15,0,18,-0.51,0.04,-2.86,0.04,3.37,0.04,0.05,0.16,-0.78,0.2,-0.86,0.04,3.63,"11","82",-0.65,"79","255","-2.980","1","352",3.3e+18,"127","82","173","218","83","9"
"1976","11","18",05:43:41.3,-4.17,135.14,33,5.8,6.3,WESTIRIANREGION,C111876B,4.4,0.2,-4.17,0.02,134.93,0.02,15,0,18,0.79,0.04,-1.48,0.04,0.69,0.04,2.24,0.17,-5.63,0.16,1.87,0.04,6.38,"46","87",0.17,"19","336","-6.550","38","231",6.47e+18,"259","19","12","158","86","109"
"1977","1","6",18:33:43.5,-2.51,28.7,21,5.3,0,LAKETANGANYIKAREGION,B010677C,2.9,0.9,-2.31,0.13,28.39,0.1,13.9,7.5,16,-4.732,0.507,3.726,0.813,1.006,0.703,0,0,0,0,2.222,0.541,4.97,"0","151",-0.24,"0","61","-4.730","90","180",4.85e+16,"241","45","-90","61","45","-90"
"1977","1","18",05:41:49.6,-41.73,174.25,50,5.9,6,"COOKSTRAIT,NEWZEALAND",B011877A,7,0.4,-41.76,0.05,174.29,0.08,26.4,3.9,17,-8.155,0.579,5.14,0.727,3.014,0.597,6.272,1.604,9.275,1.779,8.17,0.671,17.04,"24","315",-3.5,"13","220","-13.550","63","103",1.53e+18,"70","24","-57","215","70","-104"
"1977","4","23",14:49:09.1,75.23,134.38,37,5,4.2,LAPTEVSEA,B042377A,4.1,2.7,74.67,0.56,133.62,0.85,10,0,16,-1.838,0.439,-1.318,0.495,3.155,0.453,0,0,0,0,-0.011,0.517,3.16,"0","90",-1.32,"0","180","-1.840","90","180",2.5e+16,"180","45","-90","0","45","-90"
"1977","12","15",23:20:53.6,-4.76,34.91,33,4.8,5.6,TANZANIA,B121577A,3.7,0.4,-4.84,0.06,34.7,0.06,15,0,17,-3.132,0.111,1.465,0.166,1.666,0.151,2.107,0.456,-0.711,0.464,-1.623,0.118,3.77,"16","42",0.18,"13","308","-3.950","69","182",3.86e+17,"151","31","-64","302","63","-104"
"1977","12","28",02:45:36.7,16.66,40.28,33,5.9,6.6,REDSEA,C122877A,7.7,0.3,15.97,0.03,40.32,0.02,10.1,0,18,-1.106,0.17,-3.781,0.194,4.887,0.151,-2.247,0.727,-3.475,0.699,-7.862,0.145,9.86,"10","62",0.13,"65","174","-10.000","23","327",9.93e+18,"106","66","-171","13","81","-24"
"1977","12","28",20:32:40.8,64.6,-17.29,10,5,5.2,ICELAND,B122877B,4.5,0.4,64.45,0.07,-17.73,0.15,15,0,17,1.304,0.082,-0.601,0.115,-0.703,0.064,0.637,0.201,0.902,0.314,0.17,0.081,1.83,"65","307",-0.76,"9","198","-1.070","23","104",1.45e+17,"176","23","67","21","69","100"
"1978","1","8",06:31:52.8,-12.09,34.27,33,5.1,0,MALAWI*,B010878A,2.3,1.7,-11.76,0.13,34.45,0.14,15,0,16,-2.912,0.399,-0.112,0.496,3.024,0.435,0,0,0,0,-1.516,0.415,3.64,"0","248",-0.73,"0","158","-2.910","90","180",3.27e+16,"338","45","-90","158","45","-90"
"1978","1","17",15:00:27.4,16.52,40.26,10,5.2,5,REDSEA,B011778B,7.5,1.5,17.51,0.15,40.49,0.09,15,0,17,-0.084,0.108,-0.52,0.181,0.603,0.112,0,0,0,0,-1.292,0.119,1.45,"0","237",-0.08,"90","180","-1.370","0","147",1.41e+17,"282","90","180","12","90","0"
