eventID,magnitude,hour,minute,second,year,month,day,longitude,latitude,depth
0,6.5,5,39,35,1976,3,29,-85.0,3.0,33.0
1,7.0,2,40,27,1976,4,8,63.0,40.0,33.0
2,6.2,2,59,5,1976,4,8,63.0,40.0,33.0
3,7.0,2,58,40,1976,5,17,63.0,40.0,10.0
4,6.9,12,23,18,1976,5,29,98.0,24.0,8.0
5,7.0,14,0,18,1976,5,29,98.0,24.0,10.0
6,6.2,5,8,28,1976,5,31,98.0,24.0,14.0
7,6.3,15,10,45,1976,7,21,98.0,24.0,9.0
8,6.2,2,56,39,1976,7,26,118.0,4.0,33.0
9,6.8,4,19,27,1976,8,17,122.0,7.0,22.0
10,6.5,7,13,15,1976,11,2,77.0,-29.0,33.0
11,6.2,3,29,18,1977,2,5,-82.0,-66.0,33.0
12,5.6,2,15,18,1977,4,11,114.0,-52.0,33.0
13,5.0,6,23,2,1977,7,8,39.0,10.0,38.0
14,5.5,5,49,8,1977,7,14,63.0,40.0,33.0
15,5.1,9,45,14,1977,8,28,8.0,38.0,10.0
16,5.5,20,10,5,1977,8,28,146.0,-1.0,33.0
17,6.7,17,26,40,1977,10,17,173.0,-27.0,33.0
18,5.2,2,22,54,1977,11,3,23.0,42.0,6.0
19,5.8,23,34,34,1977,12,19,56.0,30.0,31.0
20,5.0,14,52,9,1978,1,4,-23.0,85.0,33.0
21,5.5,3,23,26,1978,1,5,-126.0,-20.0,33.0
22,5.0,16,7,14,1978,2,5,-108.0,78.0,33.0
23,6.1,0,42,36,1978,3,24,-67.0,29.0,20.0
24,5.4,6,9,36,1978,4,3,114.0,-52.0,33.0
25,5.3,6,18,14,1978,5,22,56.0,31.0,34.0
26,5.9,11,30,6,1978,6,2,146.0,-1.0,22.0
27,6.0,19,30,23,1978,6,4,63.0,40.0,33.0
28,5.1,7,5,56,1978,6,5,160.0,60.0,33.0
29,4.9,8,6,17,1978,7,24,-88.0,26.0,33.0
30,5.2,7,45,52,1978,8,2,100.0,20.0,33.0
31,5.6,1,10,26,1978,8,3,84.0,0.0,33.0
32,5.3,5,8,30,1978,9,3,9.0,48.0,8.0
33,5.1,23,11,11,1978,9,9,101.0,23.0,14.0
34,7.4,15,35,56,1978,9,16,57.0,33.0,33.0
35,5.0,13,13,8,1978,12,24,-157.0,63.0,33.0
36,5.3,14,49,1,1979,1,12,-17.0,35.0,11.0
37,5.5,10,36,17,1979,2,13,57.0,33.0,33.0
38,6.2,12,52,29,1979,3,15,101.0,23.0,33.0
39,5.6,13,19,59,1979,4,4,123.0,19.0,14.0
40,5.9,5,45,10,1979,4,23,120.0,-16.0,33.0
41,6.1,9,47,58,1979,6,2,117.0,-30.0,6.0
42,5.4,14,56,49,1979,6,17,100.0,-6.0,33.0
43,5.1,8,50,35,1979,6,27,-96.0,70.0,18.0
44,5.0,14,7,28,1979,7,11,-127.0,62.0,10.0
45,5.3,9,40,50,1979,7,14,122.0,-18.0,10.0
46,5.7,16,1,15,1979,7,17,98.0,-4.0,31.0
