z[m] rho[kg/m^3] T[K] c[m/s] p[Pa] n/a g[m/s^2] n/a.1 kappa[J/s/m/K] mu[kg(s.m)] n/a.2 w_y[m/s] w_x[m/s] w_proj[m/s] cP[J/(kg.K)] cV[J/(kg.K)] gamma[1] fr[Hz] Svib[1] kappa1 taus taue taus_new taue_new
0.0 67.46 733.6271171 409.3152388 9462000.0 0.0 8.869475448 0.0 0.03244848317 3.242526128e-05 0.0 0.0 0.0 0.0 1171.836438 977.9705103 1.198232897 13075676.72 0.08942717343 8.847851719265464e-08 0.01 0.01000000108849255 0.01 0.01000000108849255
10.0 67.42 733.5558599 409.297472 9456000.0 0.0 8.869446136 0.0 0.03244556106 3.242359003e-05 0.0 0.0 0.0 0.0 1171.821071 977.9560311 1.198234925 13065770.65 0.08942532454 8.85386972032843e-08 0.01 0.010000001089295291 0.01 0.010000001089295291
20.0 67.38 733.4846001 409.2797026 9451000.0 0.0 8.869416825 0.0 0.03244263817 3.242191802e-05 0.0 0.0 0.0 0.0 1171.805585 977.9414475 1.198236958 13055871.16 0.08942347648 8.859895079264005e-08 0.01 0.010000001090098711 0.01 0.010000001090098711
30.0 67.34 733.4133377 409.2619308 9445000.0 0.0 8.869387513 0.0 0.03243971451 3.242024525e-05 0.0 0.0 0.0 0.0 1171.789979 977.9267596 1.198238997 13045978.24 0.08942162926 8.865927800580064e-08 0.01 0.01000000109090281 0.01 0.01000000109090281
40.0 67.3 733.3420726 409.2441565 9439000.0 0.0 8.869358202 0.0 0.03243679007 3.241857171e-05 0.0 0.0 0.0 0.0 1171.774254 977.9119677 1.198241041 13036091.89 0.08941978287 8.871967901798053e-08 0.01 0.010000001091707589 0.01 0.010000001091707589
50.0 67.25 733.2708048 409.2263797 9433000.0 0.0 8.869328891 0.0 0.03243386486 3.241689741e-05 0.0 0.0 0.0 0.0 1171.758411 977.8970721 1.198243091 13026212.1 0.08941793732 8.879335547132729e-08 0.01 0.010000001092513052 0.01 0.010000001092513052
60.0 67.21 733.1995344 409.2086005 9427000.0 0.0 8.86929958 0.0 0.03243093886 3.241522234e-05 0.0 0.0 0.0 0.0 1171.742448 977.8820728 1.198245147 13016338.88 0.0894160926 8.885392130102893e-08 0.01 0.010000001093319194 0.01 0.010000001093319194
70.0 67.17 733.1282614 409.1908188 9421000.0 0.0 8.869270269 0.0 0.03242801209 3.241354652e-05 0.0 0.0 0.0 0.0 1171.726368 977.8669702 1.198247209 13006472.21 0.08941424871 8.89145613585609e-08 0.01 0.01000000109412602 0.01 0.01000000109412602
80.0 67.13 733.0569857 409.1730346 9415000.0 0.0 8.869240958 0.0 0.03242508455 3.241186993e-05 0.0 0.0 0.0 0.0 1171.710169 977.8517644 1.198249276 12996612.1 0.08941240565 8.89752757772115e-08 0.01 0.010000001094933528 0.01 0.010000001094933528
90.0 67.09 732.9857074 409.155248 9409000.0 0.0 8.869211647 0.0 0.03242215622 3.241019258e-05 0.0 0.0 0.0 0.0 1171.693852 977.8364556 1.198251349 12986758.54 0.08941056342 8.903606464706516e-08 0.01 0.01000000109574172 0.01 0.01000000109574172
100.0 67.05 732.9144264 409.1374589 9403000.0 0.0 8.869182337 0.0 0.03241922713 3.240851448e-05 0.0 0.0 0.0 0.0 1171.677418 977.8210441 1.198253428 12976911.52 0.08940872202 8.90969281455059e-08 0.01 0.010000001096550597 0.01 0.010000001096550597
110.0 67.01 732.8431428 409.1196673 9397000.0 0.0 8.869153026 0.0 0.03241629725 3.24068356e-05 0.0 0.0 0.0 0.0 1171.660867 977.8055301 1.198255512 12967071.04 0.08940688143 8.915786640677914e-08 0.01 0.010000001097360158 0.01 0.010000001097360158
120.0 66.97 732.7718565 409.1018733 9391000.0 0.0 8.869123716 0.0 0.03241336661 3.240515597e-05 0.0 0.0 0.0 0.0 1171.644198 977.7899138 1.198257603 12957237.1 0.08940504168 8.921887952183419e-08 0.01 0.010000001098170406 0.01 0.010000001098170406
130.0 66.93 732.7005676 409.0840768 9385000.0 0.0 8.869094406 0.0 0.03241043518 3.240347558e-05 0.0 0.0 0.0 0.0 1171.627412 977.7741954 1.198259698 12947409.69 0.08940320274 8.927996766911277e-08 0.01 0.01000000109898134 0.01 0.01000000109898134
140.0 66.89 732.629276 409.0662778 9379000.0 0.0 8.869065096 0.0 0.03240750298 3.240179443e-05 0.0 0.0 0.0 0.0 1171.61051 977.7583751 1.1982618 12937588.8 0.08940136462 8.934113098382584e-08 0.01 0.010000001099792962 0.01 0.010000001099792962
150.0 66.85 732.5579818 409.0484763 9373000.0 0.0 8.869035787 0.0 0.03240457001 3.240011251e-05 0.0 0.0 0.0 0.0 1171.593492 977.7424531 1.198263907 12927774.44 0.08939952733 8.940236960150839e-08 0.01 0.01000000110060527 0.01 0.01000000110060527
160.0 66.81 732.4866849 409.0306724 9367000.0 0.0 8.869006477 0.0 0.03240163627 3.239842984e-05 0.0 0.0 0.0 0.0 1171.576357 977.7264296 1.19826602 12917966.6 0.08939769085 8.946368361427581e-08 0.01 0.010000001101418268 0.01 0.010000001101418268
170.0 66.78 732.4153854 409.012866 9361000.0 0.0 8.868977167 0.0 0.03239870175 3.23967464e-05 0.0 0.0 0.0 0.0 1171.559107 977.7103049 1.198268139 12908165.28 0.08939585518 8.951166723116422e-08 0.01 0.010000001102231955 0.01 0.010000001102231955
180.0 66.74 732.3440832 408.9950572 9355000.0 0.0 8.868947858 0.0 0.03239576645 3.239506221e-05 0.0 0.0 0.0 0.0 1171.541741 977.6940792 1.198270263 12898370.46 0.08939402033 8.957311524213544e-08 0.01 0.010000001103046332 0.01 0.010000001103046332
190.0 66.7 732.2727784 408.9772458 9349000.0 0.0 8.868918549 0.0 0.03239283038 3.239337725e-05 0.0 0.0 0.0 0.0 1171.52426 977.6777526 1.198272393 12888582.15 0.08939218629 8.963463911312474e-08 0.01 0.0100000011038614 0.01 0.0100000011038614
200.0 66.66 732.2014709 408.959432 9343000.0 0.0 8.86888924 0.0 0.03238989354 3.239169154e-05 0.0 0.0 0.0 0.0 1171.506664 977.6613254 1.198274529 12878800.34 0.08939035307 8.969623889358733e-08 0.01 0.010000001104677157 0.01 0.010000001104677157
210.0 66.62 732.1301608 408.9416157 9338000.0 0.0 8.868859931 0.0 0.03238695593 3.239000507e-05 0.0 0.0 0.0 0.0 1171.488953 977.6447978 1.19827667 12869025.03 0.08938852065 8.975791476474456e-08 0.01 0.01000000110549361 0.01 0.01000000110549361
220.0 66.59 732.058848 408.923797 9332000.0 0.0 8.868830622 0.0 0.03238401755 3.238831783e-05 0.0 0.0 0.0 0.0 1171.471127 977.62817 1.198278817 12859256.22 0.08938668904 8.980617835866291e-08 0.01 0.01000000110631075 0.01 0.01000000110631075
230.0 66.55 731.9875325 408.9059758 9326000.0 0.0 8.868801314 0.0 0.03238107839 3.238662984e-05 0.0 0.0 0.0 0.0 1171.453187 977.6114423 1.19828097 12849493.89 0.08938485824 8.986798938301118e-08 0.01 0.010000001107128589 0.01 0.010000001107128589
240.0 66.51 731.9162144 408.8881521 9320000.0 0.0 8.868772005 0.0 0.03237813846 3.238494109e-05 0.0 0.0 0.0 0.0 1171.435133 977.5946148 1.198283128 12839738.05 0.08938302824 8.99298768798067e-08 0.01 0.010000001107947118 0.01 0.010000001107947118
250.0 66.47 731.8448936 408.8703259 9314000.0 0.0 8.868742697 0.0 0.03237519776 3.238325158e-05 0.0 0.0 0.0 0.0 1171.416965 977.5776877 1.198285292 12829988.69 0.08938119905 8.999184098771767e-08 0.01 0.010000001108766343 0.01 0.010000001108766343
260.0 66.44 731.7735702 408.8524973 9308000.0 0.0 8.868713389 0.0 0.03237225628 3.238156132e-05 0.0 0.0 0.0 0.0 1171.398684 977.5606612 1.198287462 12820245.81 0.08937937066 9.004032763525832e-08 0.01 0.010000001109586265 0.01 0.010000001109586265
270.0 66.4 731.7022441 408.8346662 9302000.0 0.0 8.868684081 0.0 0.03236931404 3.237987029e-05 0.0 0.0 0.0 0.0 1171.380289 977.5435357 1.198289638 12810509.4 0.08937754307 9.010242781838965e-08 0.01 0.010000001110406881 0.01 0.010000001110406881
280.0 66.36 731.6309153 408.8168326 9296000.0 0.0 8.868654773 0.0 0.03236637102 3.237817851e-05 0.0 0.0 0.0 0.0 1171.361782 977.5263112 1.198291819 12800779.45 0.08937571628 9.01646049978565e-08 0.01 0.010000001111228195 0.01 0.010000001111228195
290.0 66.32 731.5595839 408.7989966 9290000.0 0.0 8.868625465 0.0 0.03236342724 3.237648596e-05 0.0 0.0 0.0 0.0 1171.343161 977.508988 1.198294006 12791055.98 0.08937389029 9.022685926944717e-08 0.01 0.010000001112050206 0.01 0.010000001112050206
300.0 66.29 731.4882498 408.7811581 9285000.0 0.0 8.868596158 0.0 0.03236048268 3.237479267e-05 0.0 0.0 0.0 0.0 1171.324428 977.4915663 1.198296199 12781338.96 0.08937206509 9.027557048400105e-08 0.01 0.010000001112872914 0.01 0.010000001112872914
310.0 66.25 731.416913 408.7633171 9279000.0 0.0 8.86856685 0.0 0.03235753735 3.237309861e-05 0.0 0.0 0.0 0.0 1171.305583 977.4740464 1.198298397 12771628.4 0.08937024069 9.033796180532108e-08 0.01 0.010000001113696321 0.01 0.010000001113696321
320.0 66.21 731.3455736 408.7454736 9273000.0 0.0 8.868537543 0.0 0.03235459126 3.237140379e-05 0.0 0.0 0.0 0.0 1171.286625 977.4564283 1.198300601 12761924.29 0.08936841708 9.040043065163423e-08 0.01 0.01000000111452043 0.01 0.01000000111452043
330.0 66.17 731.2742315 408.7276277 9267000.0 0.0 8.868508236 0.0 0.03235164439 3.236970822e-05 0.0 0.0 0.0 0.0 1171.267556 977.4387125 1.19830281 12752226.62 0.08936659427 9.046297711988254e-08 0.01 0.010000001115345238 0.01 0.010000001115345238
