snr,proba,lat,lon,duration
1.0,0.18131882101745456,-65.0,-180.0,30.0
2.0,0.11702026680522115,-65.0,-180.0,30.0
5.0,0.0659107765185506,-65.0,-180.0,30.0
1.0,0.32004612530798304,-65.0,-180.0,60.0
2.0,0.2133338717903731,-65.0,-180.0,60.0
5.0,0.12318579738476876,-65.0,-180.0,60.0
1.0,0.42470105762782573,-65.0,-180.0,90.0
2.0,0.2910099348423435,-65.0,-180.0,90.0
5.0,0.17172724060616262,-65.0,-180.0,90.0
1.0,0.5048071366778399,-65.0,-180.0,120.0
2.0,0.3541416662340652,-65.0,-180.0,120.0
5.0,0.2129752487073382,-65.0,-180.0,120.0
1.0,0.18115413269675873,-59.583333333333336,-180.0,30.0
2.0,0.1169092742091612,-59.583333333333336,-180.0,30.0
5.0,0.06584610537450875,-59.583333333333336,-180.0,30.0
1.0,0.315726780031122,-59.583333333333336,-180.0,60.0
2.0,0.2102263252273947,-59.583333333333336,-180.0,60.0
5.0,0.12128845158749224,-59.583333333333336,-180.0,60.0
1.0,0.4156746626850736,-59.583333333333336,-180.0,90.0
2.0,0.2841054807587019,-59.583333333333336,-180.0,90.0
5.0,0.16731245053923938,-59.583333333333336,-180.0,90.0
1.0,0.49791751651305627,-59.583333333333336,-180.0,120.0
2.0,0.34856098214308473,-59.583333333333336,-180.0,120.0
5.0,0.20925072188298632,-59.583333333333336,-180.0,120.0
1.0,0.17694744031176568,-54.166666666666664,-180.0,30.0
2.0,0.11408834562850412,-54.166666666666664,-180.0,30.0
5.0,0.06421219210068252,-54.166666666666664,-180.0,30.0
1.0,0.3058275978240207,-54.166666666666664,-180.0,60.0
2.0,0.2031333870325226,-54.166666666666664,-180.0,60.0
5.0,0.11696860773098472,-54.166666666666664,-180.0,60.0
1.0,0.40529874937266175,-54.166666666666664,-180.0,90.0
2.0,0.276216021017199,-54.166666666666664,-180.0,90.0
5.0,0.16228937839868907,-54.166666666666664,-180.0,90.0
1.0,0.48764022839252263,-54.166666666666664,-180.0,120.0
2.0,0.340314112088523,-54.166666666666664,-180.0,120.0
5.0,0.2037940629381857,-54.166666666666664,-180.0,120.0
1.0,0.16997957573263367,-48.75,-180.0,30.0
2.0,0.10942675497196841,-48.75,-180.0,30.0
5.0,0.06151450908114464,-48.75,-180.0,30.0
1.0,0.2945030531096263,-48.75,-180.0,60.0
2.0,0.19506391515078103,-48.75,-180.0,60.0
5.0,0.11207390602793943,-48.75,-180.0,60.0
1.0,0.39147500881425723,-48.75,-180.0,90.0
2.0,0.2657973517994239,-48.75,-180.0,90.0
5.0,0.15570212770211678,-48.75,-180.0,90.0
1.0,0.4793160614156743,-48.75,-180.0,120.0
2.0,0.33366313969437167,-48.75,-180.0,120.0
5.0,0.19940916743807902,-48.75,-180.0,120.0
