m_rr,m_tt,m_pp,m_rt,m_rp,m_tp,UTC,time (years),depth,mag
,,,,,,570245075990000000,0.07139383529934044,8.116,3.93
,,,,,,571498017660000000,0.11112435502283105,8.458,3.04
,,,,,,571706151240000000,0.11772422754946728,-0.031,3.02
,,,,,,572306806680000000,0.13677088660578385,9.119,3.01
,,,,,,572330824710000000,0.1375324933409437,8.318,4.13
,,,,,,573295316370000000,0.16811632324961948,9.305,4.92
,,,,,,573836191970000000,0.18526737601471333,8.618,3.46
,,,,,,574223959370000000,0.19756339960679858,7.665,3.18
,,,,,,574270128040000000,0.19902739852866566,6.598,3.18
,,,,,,574453837520000000,0.2048527879249112,8.393,3.26
,,,,,,574874759940000000,0.218200150304414,8.116,4.03
,,,,,,575248113070000000,0.23003910039320144,12.7,3.23
,,,,,,575740056940000000,0.24563853817858955,8.556,3.8
,,,,,,576685274840000000,0.27561120116692034,8.666,3.64
,,,,,,580790002470000000,0.4057712604642314,4.562,3.1
,,,,,,580851126050000000,0.4077094764713344,5.273,3.27
,,,,,,581097379840000000,0.415518132927448,8.796,3.5
,,,,,,581190844290000000,0.41848187119482494,9.332,3.11
,,,,,,581683726280000000,0.4341110565702689,8.326,4.63
,,,,,,582553837430000000,0.46170210013952306,5.606,3.33
,,,,,,582861025420000000,0.4714429674023338,8.44,3.74
,,,,,,583055316290000000,0.47760389047437846,14.633,3.35
,,,,,,583997889300000000,0.5074926845509894,8.703,5.44
,,,,,,585997253690000000,0.5708921134576358,8.603,3.66
,,,,,,586360722290000000,0.5824176271562658,12.071,3.62
,,,,,,586361073580000000,0.5824287664890918,13.631,4.12
,,,,,,586363847020000000,0.5825167116945713,14.471,3.83
,,,,,,588095720780000000,0.6374340683663116,8.683,3.34
,,,,,,588507027950000000,0.6504765331684423,8.793,3.36
,,,,,,589203687330000000,0.6725674571917808,7.676,3.21
,,,,,,589576681120000000,0.6843950126839168,9.117,3.76
,,,,,,590133160440000000,0.7020408561643836,8.62,4.12
,,,,,,591582633120000000,0.7480033333333334,9.086,4.13
,,,,,,591671893740000000,0.7508337690258752,8.823,3.49
,,,,,,591894507230000000,0.757892796486555,12.746,3.24
,,,,,,594094804610000000,0.8276637687087772,8.085,3.8
,,,,,,594109691770000000,0.8281358374556063,6.075,3.39
,,,,,,594398412320000000,0.8372911060375444,8.413,3.21
,,,,,,597789272660000000,0.9448145820649416,7.578,3.03
,,,,,,597802228910000000,0.9452254220573313,8.583,3.89
,,,,,,597804074920000000,0.9452839586504314,6.453,3.15
,,,,,,598755779620000000,0.9754623167174024,9.868,3.54
,,,,,,598919613870000000,0.9806574667047184,9.875,3.74
,,,,,,599231888230000000,0.9905596217021817,12.403,3.07
,,,,,,600473048200000000,1.029916546169457,11.989,3.16
,,,,,,601105040740000000,1.0499568981481482,6.825,3.04
,,,,,,601671186430000000,1.067909260210553,14.921,3.18
,,,,,,601674921940000000,1.0680277124556061,13.629,3.01
,,,,,,601732599060000000,1.069856641933029,7.793,3.19
,,,,,,602572860390000000,1.0965011539193303,8.899,3.42
,,,,,,603610872860000000,1.129416313419584,8.96,3.26
,,,,,,604609013710000000,1.161067152143582,8.869,3.01
,,,,,,607370717880000000,1.2486402168949773,12.819,3.77
,,,,,,608050695320000000,1.27020216007103,5.351,3.2
,,,,,,608614314750000000,1.288074414954338,2.345,3.19
,,,,,,609011694430000000,1.3006752419457128,9.247,3.02
,,,,,,609739666590000000,1.3237590877092846,1.697,3.01
,,,,,,610481367710000000,1.34727827593861,8.538,3.54
,,,,,,611041482540000000,1.3650394006849316,5.675,3.29
,,,,,,611646106570000000,1.384211902904617,2.768,3.11
,,,,,,612729416440000000,1.418563433536276,8.838,3.62
,,,,,,613122546860000000,1.431029517376966,14.173,3.36
,,,,,,613704876700000000,1.449495075469305,12.169,3.62
,,,,,,614834823890000000,1.4853254658168442,8.806,6.21
,,,,,,614835128480000000,1.4853351243023845,6.922,3.7
,,,,,,614835883650000000,1.485359070585997,8.86,3.5
,,,,,,614836563980000000,1.485380643708777,8.727,4.0
,,,,,,614839033200000000,1.4854589421613396,7.85,3.08
,,,,,,614839930610000000,1.4854873988457635,9.46,3.15
,,,,,,614843070670000000,1.4855869694951802,-0.05,3.28
,,,,,,614844370550000000,1.4856281884195839,3.77,3.67
,,,,,,614856947390000000,1.486026997399797,8.029,3.01
,,,,,,614890348000000000,1.487086123795028,5.277,3.81
,,,,,,616825409820000000,1.5484465315829528,8.776,3.07
,,,,,,617363741490000000,1.5655169168569254,6.285,3.0
,,,,,,617764506680000000,1.5782250976661594,7.999,3.18
,,,,,,618734362050000000,1.6089790097031962,6.756,3.01
,,,,,,621757112760000000,1.704829805936073,8.935,3.04
,,,,,,621945826500000000,1.7108138793759513,9.016,3.04
,,,,,,622484262680000000,1.727887578640284,9.213,3.22
,,,,,,624201664760000000,1.7823460413495686,9.338,3.0
,,,,,,626025260000000000,1.840171867072552,8.586,3.39
,,,,,,626170148330000000,1.844766245877727,6.738,3.04
,,,,,,626208999930000000,1.8459982220319635,5.626,3.02
,,,,,,627385075110000000,1.883291321347032,8.609,3.0
,,,,,,627682019670000000,1.8927073715753424,7.396,3.37
,,,,,,628074693070000000,1.9051589634069002,8.43,3.64
,,,,,,628189088370000000,1.9087864145738203,12.08,3.58
,,,,,,628722274770000000,1.9256936444063928,9.63,3.18
,,,,,,629729392680000000,1.9576291438356164,8.069,3.24
,,,,,,630573563770000000,1.9843976334982243,0.824,3.32
,,,,,,630839597110000000,1.9928334953703704,8.783,5.31
,,,,,,630839795910000000,1.9928397992770166,9.173,3.74
,,,,,,631259341370000000,2.0061434985413493,9.158,3.52
,,,,,,633401740820000000,2.0740785394469814,8.536,3.26
,,,,,,634083107360000000,2.0956845306950784,8.195,3.15
,,,,,,634453500660000000,2.1074296251902584,12.363,3.22
,,,,,,634629901240000000,2.113023250887874,8.427,3.0
,,,,,,635556425450000000,2.142403140854896,8.203,3.37
,,,,,,636314535940000000,2.1664426667935057,7.263,3.81
,,,,,,637218384040000000,2.195103502029427,11.708,3.5
,,,,,,637220027540000000,2.1951556170725524,11.621,3.02
,,,,,,637221518250000000,2.1952028871765603,11.381,3.3
,,,,,,637221640710000000,2.1952067703576863,10.985,3.33
,,,,,,637223514690000000,2.195266193873668,13.741,3.06
,,,,,,637223696520000000,2.1952719596651447,8.186,3.18
,,,,,,637223896360000000,2.1952782965499744,11.761,3.04
,,,,,,637224887660000000,2.195309730466768,13.651,3.98
,,,,,,637226615470000000,2.1953645189624558,7.739,3.0
,,,,,,637264144330000000,2.1965545513064435,12.688,3.59
,,,,,,637357213200000000,2.1995057458143075,11.341,3.01
,,,,,,637409917100000000,2.2011769755200405,10.501,3.17
,,,,,,637415770800000000,2.201362595129376,14.431,3.06
,,,,,,637466199240000000,2.2029616704718413,3.823,3.2
,,,,,,637468508240000000,2.203034888381532,11.381,3.07
,,,,,,637515914970000000,2.2045381459284625,13.801,3.38
,,,,,,637580945680000000,2.2066002562151192,12.881,3.08
,,,,,,637605755500000000,2.207386970446474,13.821,3.2
,,,,,,637718000920000000,2.2109462493658043,13.761,3.17
,,,,,,638304185230000000,2.2295340319000507,0.677,3.65
,,,,,,638425278860000000,2.2333738857179095,8.936,3.01
,,,,,,638840950950000000,2.2465547612252665,9.063,3.25
,,,,,,639052639550000000,2.2532673626966004,9.069,3.74
,,,,,,639212423220000000,2.258334069634703,2.984,3.92
,,,,,,639541353900000000,2.2687643930745818,8.166,3.42
,,,,,,640004874850000000,2.2834625459791984,9.667,3.22
,,,,,,640160859600000000,2.2884087899543375,8.606,3.6
,,,,,,640332761500000000,2.293859763444952,8.706,3.37
,,,,,,642088229730000000,2.3495252958523594,6.917,3.18
,,,,,,642202817550000000,2.3531588517884323,8.576,3.66
,,,,,,643678296880000000,2.3999459944190766,7.953,3.09
,,,,,,645203790840000000,2.448319090563166,7.929,3.02
,,,,,,645278823970000000,2.450698375507357,7.776,4.13
,,,,,,645637950150000000,2.462086191971081,9.789,3.39
,,,,,,647062466480000000,2.5072573084728567,8.626,3.11
,,,,,,647789267020000000,2.530304002409944,8.416,3.66
,,,,,,648144272500000000,2.541561152333841,8.229,3.0
,,,,,,649741308850000000,2.592202842782851,8.929,3.37
,,,,,,650167596060000000,2.605720321537291,8.696,4.71
,,,,,,650380207340000000,2.6124621809994926,9.819,3.04
,,,,,,651522454760000000,2.6486826090816846,6.798,3.19
,,,,,,653944716830000000,2.7254920354515475,14.339,3.43
,,,,,,655201347130000000,2.765339520865043,9.617,3.16
,,,,,,656069689100000000,2.792874464104515,10.026,3.17
,,,,,,656681718940000000,2.812281803018772,7.841,3.49
,,,,,,657792212750000000,2.8474953307331305,3.974,3.29
,,,,,,657981844880000000,2.8535085261288686,8.516,3.67
,,,,,,658337044990000000,2.8647718477295787,7.481,3.56
,,,,,,658400741810000000,2.8667916606418062,6.754,3.16
,,,,,,658452487390000000,2.8684325022196853,3.321,3.11
,,,,,,659582399980000000,2.904261795408422,8.959,3.54
,,,,,,662744120780000000,3.004519304287164,8.466,3.35
,,,,,,663286774430000000,3.0217267386478945,7.519,3.33
,,,,,,666307438810000000,3.117511377790462,2.15,3.53
,,,,,,667331694040000000,3.1499902980720447,8.496,3.27
,,,,,,667342059710000000,3.150318991311517,8.553,3.01
,,,,,,668737261690000000,3.1945605558726533,4.442,3.17
,,,,,,668858072060000000,3.198391427574835,11.697,3.03
,,,,,,668899998620000000,3.19972091007103,4.101,3.0
,,,,,,669974604690000000,3.2337964450152206,7.913,3.02
,,,,,,670003042220000000,3.234698193176053,1.894,3.25
,,,,,,670201555140000000,3.2409929965753426,7.795,3.56
,,,,,,670205012780000000,3.2411026376204974,9.375,3.87
,,,,,,670205915630000000,3.24113126680619,8.575,3.52
,,,,,,671164741780000000,3.271535444571284,2.685,3.3
,,,,,,675662203320000000,3.414149014459665,9.187,3.1
,,,,,,676170780450000000,3.4302758894596654,2.622,3.22
,,,,,,678065416130000000,3.4903543927574834,11.921,3.29
,,,,,,678248235140000000,3.496151545535261,8.456,3.38
,,,,,,681457542170000000,3.5979180038685947,9.175,3.68
,,,,,,681917399690000000,3.6124999901699644,8.189,3.37
,,,,,,682808989470000000,3.640772116628615,2.108,3.01
,,,,,,684003916470000000,3.6786630032343988,8.757,4.01
,,,,,,685820371450000000,3.736262412798072,4.309,3.68
,,,,,,686632156830000000,3.762003958333333,10.294,3.53
,,,,,,687910659520000000,3.802545012683917,4.021,3.33
,,,,,,688529547170000000,3.822169811326738,8.416,3.0
,,,,,,689026821970000000,3.8379382917935057,8.693,3.98
,,,,,,689379348030000000,3.849116819824962,6.696,3.24
,,,,,,690657455900000000,3.8896453545154746,7.255,3.09
,,,,,,692364856180000000,3.943786662227296,5.042,3.19
