m_rr,m_tt,m_pp,m_rt,m_rp,m_tp,UTC,time (years),depth,mag
,,,,,,410384931300000000,0.005001626712328767,1.479,3.01
,,,,,,410410810640000000,0.005822255200405886,8.75,3.42
,,,,,,410420392500000000,0.00612609398782344,9.135,3.32
,,,,,,410478904000000000,0.007981481481481482,7.803,3.89
,,,,,,410626453020000000,0.012660230213089802,9.08,3.85
,,,,,,411586433640000000,0.04310101598173516,8.706,3.98
,,,,,,412200819840000000,0.06258307458143075,11.669,3.4
,,,,,,412202806620000000,0.06264607496194825,11.509,3.6
,,,,,,412228824890000000,0.06347110889142567,9.389,4.47
,,,,,,412333708240000000,0.06679693810248606,8.286,3.4
,,,,,,412472314290000000,0.07119210711567732,11.517,3.07
,,,,,,412480677980000000,0.07145731798579401,9.94,3.47
,,,,,,413099182660000000,0.0910699727295789,9.366,3.52
,,,,,,413439672550000000,0.10186683631405377,7.465,3.12
,,,,,,414148314000000000,0.12433770928462709,8.406,3.47
,,,,,,414561912050000000,0.13745281741501775,8.186,3.55
,,,,,,414996586070000000,0.15123624016996448,-1.638,3.6
,,,,,,415460328600000000,0.1659414193302892,-2.138,3.04
,,,,,,415510130770000000,0.16752063578132925,-0.168,3.06
,,,,,,415704443840000000,0.17368226281075597,8.063,3.53
,,,,,,415764602620000000,0.17558988521055302,12.428,3.47
,,,,,,415989663380000000,0.18272651509386098,10.325,4.56
,,,,,,416810142740000000,0.2087437449264333,9.433,3.25
,,,,,,416897130010000000,0.21150209316336885,9.27,3.8
,,,,,,417064719190000000,0.21681631119989855,6.539,4.91
,,,,,,417085341420000000,0.21747023782343988,10.048,4.03
,,,,,,417091048880000000,0.21765122019279554,10.088,3.49
,,,,,,417166583060000000,0.22004639332825976,10.097,3.44
,,,,,,417358773260000000,0.22614070459157787,8.507,3.05
,,,,,,418597233490000000,0.2654120208650431,8.156,3.46
,,,,,,418992566910000000,0.27794796137747335,3.632,3.67
,,,,,,419302274470000000,0.2877687236808727,8.423,3.21
,,,,,,419928221870000000,0.3076173855276509,8.632,3.13
,,,,,,420370472860000000,0.3216410724251649,7.865,4.24
,,,,,,421181230390000000,0.3473500250507357,7.905,3.35
,,,,,,421669807950000000,0.3628427178462709,8.637,4.44
,,,,,,421769898160000000,0.36601655758498225,7.838,3.44
,,,,,,422228797250000000,0.3805681522704211,-1.536,3.23
,,,,,,422368984800000000,0.38501347031963473,-2.078,3.07
,,,,,,422646557840000000,0.39381525367833586,8.852,3.18
,,,,,,422788177060000000,0.39830596968543885,6.188,3.2
,,,,,,423564458320000000,0.4229216869609335,7.9,3.39
,,,,,,423957786270000000,0.43539403443683405,8.672,3.1
,,,,,,425102115730000000,0.4716804835743278,7.485,3.83
,,,,,,425170273500000000,0.47384175228310504,9.119,3.31
,,,,,,425350655480000000,0.47956162734652463,5.443,3.21
,,,,,,425530728650000000,0.4852717101090817,8.785,3.82
,,,,,,425743432700000000,0.4920165112886859,7.29,3.07
,,,,,,425887878610000000,0.4965968610476915,8.89,3.51
,,,,,,426453524040000000,0.5145333599695586,7.589,3.02
,,,,,,427147731600000000,0.5365465372907154,7.624,3.1
,,,,,,427200029070000000,0.5382048791856926,6.878,3.17
,,,,,,428098889740000000,0.5667075640537798,7.82,3.72
,,,,,,428414466750000000,0.5767144453957382,7.645,3.21
,,,,,,428435396110000000,0.5773781110476915,8.203,3.41
,,,,,,428442643750000000,0.5776079322044647,7.882,3.16
,,,,,,428513956340000000,0.5798692395991882,8.175,3.81
,,,,,,428552217970000000,0.581082507927448,9.44,3.59
,,,,,,429226791370000000,0.6024730901192289,8.083,3.24
,,,,,,429678858650000000,0.616808049530695,8.905,3.66
,,,,,,429874521440000000,0.6230124759005581,8.875,3.18
,,,,,,429876644680000000,0.6230798033992897,4.99,3.79
,,,,,,430494515100000000,0.642672345890411,8.915,3.81
,,,,,,430763032080000000,0.6511869634703196,-2.422,3.37
,,,,,,431684864690000000,0.6804180837772704,9.455,3.57
,,,,,,431704600910000000,0.6810439152080162,3.774,3.23
,,,,,,431973055340000000,0.6895565493404363,8.455,5.66
,,,,,,432013444910000000,0.6908372942034501,2.854,3.02
,,,,,,432277177160000000,0.6992001889903602,4.094,3.21
,,,,,,432365997510000000,0.7020166638127855,8.578,4.16
,,,,,,432405823500000000,0.7032795376712329,4.594,3.5
,,,,,,432413758370000000,0.7035311507483512,4.36,3.04
,,,,,,432428415200000000,0.7039959157787925,8.108,3.82
,,,,,,432430637080000000,0.7040663711314054,4.274,3.71
,,,,,,432588132220000000,0.7090605092592592,4.334,4.01
,,,,,,432608993210000000,0.7097220069127347,4.774,4.0
,,,,,,432725309060000000,0.7134103583206494,6.13,3.57
,,,,,,433017289370000000,0.7226689932141045,10.157,3.3
,,,,,,433425742440000000,0.7356209550989345,8.459,3.0
,,,,,,433575872770000000,0.7403815566336884,8.902,3.29
,,,,,,433942707600000000,0.7520138127853881,9.173,3.52
,,,,,,434180753450000000,0.7595621971714865,9.417,3.22
,,,,,,434264010430000000,0.762202258688483,2.024,3.14
,,,,,,434431296290000000,0.7675068585109082,13.229,3.9
,,,,,,434514094910000000,0.770132385527651,7.743,3.53
,,,,,,435663735230000000,0.8065872409309995,7.12,3.18
,,,,,,435963755270000000,0.8161008139903602,4.804,3.79
,,,,,,436161815330000000,0.8223812572932521,8.652,3.5
,,,,,,436164793740000000,0.8224757020547945,8.622,3.29
,,,,,,436339569060000000,0.8280177910958904,8.658,3.22
,,,,,,436412954510000000,0.8303448284500254,7.542,3.86
,,,,,,437421343820000000,0.8623206437087773,-0.742,3.26
,,,,,,437472338320000000,0.8639376686960933,14.373,3.79
,,,,,,437678209320000000,0.870465795281583,-2.032,3.68
