region,iloc,lon,lat,iradius,radius,ratio,ratio_map
corona,0,-179,-89,0,10000.0,0.0,0.0
corona,0,-179,-89,1,510000.0,0.0,0.0
corona,0,-179,-89,2,1010000.0,0.0,0.0
corona,0,-179,-89,3,1510000.0,2.4232669663172295e-06,1.2490449960934227e-05
corona,0,-179,-89,4,2010000.0,0.0013041003310830437,0.006721834678490043
corona,0,-179,-89,5,2510000.0,0.003130538914124418,0.016136001604913387
corona,0,-179,-89,6,3010000.0,0.004653925542556211,0.023988122199988048
corona,0,-179,-89,7,3510000.0,0.006658824311460117,0.03432214156220083
corona,0,-179,-89,8,4010000.0,0.008289736469469964,0.04272849009228453
corona,0,-179,-89,9,4510000.0,0.012663564408622829,0.06527288151555011
corona,0,-179,-89,10,5010000.0,0.018344117935908347,0.09455263920184367
corona,0,-179,-89,11,5510000.0,0.023257244083233215,0.11987678101036335
corona,0,-179,-89,12,6010000.0,0.030751397762822437,0.1585045314132492
corona,0,-179,-89,13,6510000.0,0.037736430877653805,0.19450807861170852
corona,0,-179,-89,14,7010000.0,0.04408381490836506,0.22722493718339146
corona,0,-179,-89,15,7510000.0,0.05014478902977529,0.2584655289259693
corona,0,-179,-89,16,8010000.0,0.056575424519006226,0.2916114975343376
corona,0,-179,-89,17,8510000.0,0.06301920712427103,0.32482523143527753
corona,0,-179,-89,18,9010000.0,0.0716927164424646,0.369531834393365
corona,0,-179,-89,19,9510000.0,0.08011040340612977,0.4129198305439733
corona,0,-179,-89,20,10010000.0,0.0880307962925495,0.45374458175539817
corona,0,-179,-89,21,10510000.0,0.09746796620592606,0.5023873851337664
corona,0,-179,-89,22,11010000.0,0.10781978643978488,0.5557446480490046
corona,0,-179,-89,23,11510000.0,0.11966269142694493,0.6167875352712193
corona,0,-179,-89,24,12010000.0,0.12911951366532815,0.6655316342911837
corona,0,-179,-89,25,12510000.0,0.13814580998502862,0.7120566371410035
corona,0,-179,-89,26,13010000.0,0.14596071793293153,0.7523376784085839
corona,0,-179,-89,27,13510000.0,0.15402023584506724,0.7938795335116446
corona,0,-179,-89,28,14010000.0,0.16184412412754956,0.8342068628775879
corona,0,-179,-89,29,14510000.0,0.1681354546341683,0.8666348000272636
corona,0,-179,-89,30,15010000.0,0.17264903008918314,0.8898995038957946
corona,0,-179,-89,31,15510000.0,0.17784750818923797,0.9166944594183497
corona,0,-179,-89,32,16010000.0,0.18241936764325745,0.9402595814344515
corona,0,-179,-89,33,16510000.0,0.18859997555439723,0.9721168117418363
corona,0,-179,-89,34,17010000.0,0.1927180110444971,0.9933427505019449
corona,0,-179,-89,35,17510000.0,0.19368842828162156,0.9983446541757907
corona,0,-179,-89,36,18010000.0,0.19400946693305535,0.9999994108604632
corona,0,-179,-89,37,18510000.0,0.19400946693305535,0.9999994108604632
corona,1,-159,-89,0,10000.0,0.0,0.0
corona,1,-159,-89,1,510000.0,0.0,0.0
corona,1,-159,-89,2,1010000.0,0.0,0.0
corona,1,-159,-89,3,1510000.0,0.0,0.0
corona,1,-159,-89,4,2010000.0,0.001166360794235909,0.006011872129359098
corona,1,-159,-89,5,2510000.0,0.003058417951693769,0.015764262425988555
corona,1,-159,-89,6,3010000.0,0.004645836182218577,0.023946426525546224
corona,1,-159,-89,7,3510000.0,0.006538271289845926,0.03370076492271324
corona,1,-159,-89,8,4010000.0,0.008357959892803916,0.043080139855666326
corona,1,-159,-89,9,4510000.0,0.01268970987486387,0.06540764530440549
corona,1,-159,-89,10,5010000.0,0.018408938466113852,0.09488674914524933
corona,1,-159,-89,11,5510000.0,0.023227015374745575,0.11972097062050675
corona,1,-159,-89,12,6010000.0,0.030886860596980346,0.15920275896107364
corona,1,-159,-89,13,6510000.0,0.03781681185387357,0.1949223930785994
corona,1,-159,-89,14,7010000.0,0.04404342252816832,0.22701673932048033
corona,1,-159,-89,15,7510000.0,0.050130623487054465,0.25839251427055443
corona,1,-159,-89,16,8010000.0,0.0566761013348454,0.2921304245646419
corona,1,-159,-89,17,8510000.0,0.06302832446464247,0.32487222571418667
corona,1,-159,-89,18,9010000.0,0.07166341436641231,0.3693808002234738
corona,1,-159,-89,19,9510000.0,0.08029565663238335,0.4138746969226202
corona,1,-159,-89,20,10010000.0,0.08818095536680784,0.45451855937704433
corona,1,-159,-89,21,10510000.0,0.09747984131821977,0.5024485940298339
corona,1,-159,-89,22,11010000.0,0.10779213819350268,0.5556021383538304
corona,1,-159,-89,23,11510000.0,0.11941442495493702,0.6155078743883307
corona,1,-159,-89,24,12010000.0,0.12887190685291797,0.6642553735475744
corona,1,-159,-89,25,12510000.0,0.13820820570577047,0.7123782486838237
corona,1,-159,-89,26,13010000.0,0.14619812209304966,0.7535613507582217
corona,1,-159,-89,27,13510000.0,0.15412320476594296,0.7944102749328774
corona,1,-159,-89,28,14010000.0,0.1619270847143272,0.8346344736494422
corona,1,-159,-89,29,14510000.0,0.16830920773240982,0.8675303903230539
corona,1,-159,-89,30,15010000.0,0.17278325071985304,0.8905913286490759
corona,1,-159,-89,31,15510000.0,0.17791084636347146,0.9170209287289444
corona,1,-159,-89,32,16010000.0,0.18235032090587475,0.9399036879938063
corona,1,-159,-89,33,16510000.0,0.18862508625485042,0.9722462419498382
corona,1,-159,-89,34,17010000.0,0.19270100186248956,0.9932550786359498
corona,1,-159,-89,35,17510000.0,0.19371027947876338,0.998457283650083
corona,1,-159,-89,36,18010000.0,0.19400946693305535,0.9999994108604632
corona,1,-159,-89,37,18510000.0,0.19400946693305535,0.9999994108604632
corona,2,-139,-89,0,10000.0,0.0,0.0
corona,2,-139,-89,1,510000.0,0.0,0.0
corona,2,-139,-89,2,1010000.0,0.0,0.0
corona,2,-139,-89,3,1510000.0,0.0,0.0
corona,2,-139,-89,4,2010000.0,0.0010505524987919211,0.005414951633429366
corona,2,-139,-89,5,2510000.0,0.00298469010983354,0.015384240772459232
corona,2,-139,-89,6,3010000.0,0.004633207428109958,0.023881333069705347
corona,2,-139,-89,7,3510000.0,0.006429712283345024,0.03314121005015665
corona,2,-139,-89,8,4010000.0,0.00844572891277369,0.04353253514157193
corona,2,-139,-89,9,4510000.0,0.012717555074022275,0.06555117017045395
corona,2,-139,-89,10,5010000.0,0.018458101798152427,0.09514015586736294
corona,2,-139,-89,11,5510000.0,0.02319898585892612,0.11957649571549692
corona,2,-139,-89,12,6010000.0,0.031030660581333747,0.15994395938757017
corona,2,-139,-89,13,6510000.0,0.03785060856183237,0.1950965943100243
corona,2,-139,-89,14,7010000.0,0.04395895917660055,0.22658138272091696
corona,2,-139,-89,15,7510000.0,0.05004423054723489,0.25794721183099933
corona,2,-139,-89,16,8010000.0,0.05677659994414154,0.292648433049883
corona,2,-139,-89,17,8510000.0,0.06309161312466974,0.3251984398095187
corona,2,-139,-89,18,9010000.0,0.07163570112910649,0.3692379555395676
corona,2,-139,-89,19,9510000.0,0.08048574578809625,0.4148544895416549
corona,2,-139,-89,20,10010000.0,0.08837945387249806,0.4555416970201955
corona,2,-139,-89,21,10510000.0,0.09758095944734149,0.5029697957585305
corona,2,-139,-89,22,11010000.0,0.10780677947726865,0.5556776051615675
corona,2,-139,-89,23,11510000.0,0.11917024032320518,0.6142492528801479
corona,2,-139,-89,24,12010000.0,0.1286445409231434,0.6630834420979469
corona,2,-139,-89,25,12510000.0,0.13827064909529535,0.7127001059298856
corona,2,-139,-89,26,13010000.0,0.1464239202152323,0.7547252011245232
corona,2,-139,-89,27,13510000.0,0.1542609661736066,0.7951203502126083
