iloc,lon,lat,iradius,radius,ratio,ratio_map
1176,0,-89,0,10000.0,0.0,0.0
1176,0,-89,1,510000.0,0.0,0.0
1176,0,-89,2,1010000.0,0.0,0.0
1176,0,-89,3,1510000.0,0.0,0.0
1176,0,-89,4,2010000.0,0.0,0.0
1176,0,-89,5,2510000.0,0.000532989735488274,0.01999680622064605
1176,0,-89,6,3010000.0,0.0007938460676106385,0.02978366172190771
1176,0,-89,7,3510000.0,0.0014307718626208107,0.053679960002551715
1176,0,-89,8,4010000.0,0.0017438127548934632,0.06542468536049828
1176,0,-89,9,4510000.0,0.0021360365226627343,0.08014020830021978
1176,0,-89,10,5010000.0,0.003459537813165108,0.1297955713902904
1176,0,-89,11,5510000.0,0.005923872801853464,0.22225294148657282
1176,0,-89,12,6010000.0,0.008512268395607704,0.3193648400173399
1176,0,-89,13,6510000.0,0.01086391426436388,0.4075943191348316
1176,0,-89,14,7010000.0,0.012623082181065622,0.4735951022599246
1176,0,-89,15,7510000.0,0.013828685387331884,0.5188271434972862
1176,0,-89,16,8010000.0,0.01497064798771612,0.5616715048623111
1176,0,-89,17,8510000.0,0.015404877328189126,0.5779630005490017
1176,0,-89,18,9010000.0,0.015919238705334748,0.5972609046197865
1176,0,-89,19,9510000.0,0.01661122364475335,0.623222921934215
1176,0,-89,20,10010000.0,0.01802246650201293,0.6761701891476032
1176,0,-89,21,10510000.0,0.018942190487159227,0.7106765615650801
1176,0,-89,22,11010000.0,0.020534762579711086,0.7704269721391106
1176,0,-89,23,11510000.0,0.02213705110936725,0.830541925774654
1176,0,-89,24,12010000.0,0.023174117197325296,0.8694507606322378
1176,0,-89,25,12510000.0,0.023509243948030018,0.8820241072597443
1176,0,-89,26,13010000.0,0.023533289388346618,0.8829262484802703
1176,0,-89,27,13510000.0,0.02388067230183437,0.8959594240610611
1176,0,-89,28,14010000.0,0.023919413213522513,0.8974129126599163
1176,0,-89,29,14510000.0,0.023919413213522513,0.8974129126599163
1176,0,-89,30,15010000.0,0.024212076804179715,0.9083931186949334
1176,0,-89,31,15510000.0,0.02519975209335354,0.9454489005449087
1176,0,-89,32,16010000.0,0.02519975209335354,0.9454489005449087
1176,0,-89,33,16510000.0,0.025723592635252885,0.9651024456498312
1176,0,-89,34,17010000.0,0.026456088155935184,0.9925843463493943
1176,0,-89,35,17510000.0,0.026553736640465366,0.9962479400227339
1176,0,-89,36,18010000.0,0.026653743083131915,0.9999999999999999
1176,0,-89,37,18510000.0,0.026653743083131915,0.9999999999999999
1212,10,-89,0,10000.0,0.0,0.0
1212,10,-89,1,510000.0,0.0,0.0
1212,10,-89,2,1010000.0,0.0,0.0
1212,10,-89,3,1510000.0,0.0,0.0
1212,10,-89,4,2010000.0,0.0,0.0
1212,10,-89,5,2510000.0,0.0005273025797592392,0.019783434473522325
1212,10,-89,6,3010000.0,0.0008031029093672935,0.030130961601244854
1212,10,-89,7,3510000.0,0.00144787992464012,0.05432182339734583
1212,10,-89,8,4010000.0,0.0017435932607182231,0.06541645033795171
1212,10,-89,9,4510000.0,0.002127902294576597,0.0798350268455638
1212,10,-89,10,5010000.0,0.0034578526292033864,0.1297323463506978
1212,10,-89,11,5510000.0,0.005963477269767515,0.2237388291455979
1212,10,-89,12,6010000.0,0.008580046550565,0.3219077532114042
1212,10,-89,13,6510000.0,0.010923697525136604,0.4098372784290013
1212,10,-89,14,7010000.0,0.012663960677542102,0.47512878915519424
