iloc,lon,lat,iradius,radius,ratio,ratio_map
1176,0,-89,0,10000.0,0.0,0.0
1176,0,-89,1,510000.0,0.0,0.0
1176,0,-89,2,1010000.0,0.0,0.0
1176,0,-89,3,1510000.0,0.0,0.0
1176,0,-89,4,2010000.0,1.79973181054861e-05,0.0008214700395507383
1176,0,-89,5,2510000.0,0.00035322738744026565,0.016122719742476973
1176,0,-89,6,3010000.0,0.0008119056997080301,0.03705864414583626
1176,0,-89,7,3510000.0,0.0009992448966818447,0.04560955915692182
1176,0,-89,8,4010000.0,0.001334939640534397,0.06093201847520606
1176,0,-89,9,4510000.0,0.001668810350140022,0.07617122152851886
1176,0,-89,10,5010000.0,0.002146070556078144,0.0979552983531916
1176,0,-89,11,5510000.0,0.0024024248302971117,0.10965633928314343
1176,0,-89,12,6010000.0,0.0027606709135212467,0.1260081325020075
1176,0,-89,13,6510000.0,0.00284153847316048,0.12969925342490565
1176,0,-89,14,7010000.0,0.0028638350783708358,0.1307169602330336
1176,0,-89,15,7510000.0,0.0031089260967381857,0.14190390083005427
1176,0,-89,16,8010000.0,0.0034218329283352638,0.1561862281091056
1176,0,-89,17,8510000.0,0.0035166539316306643,0.16051424036464101
1176,0,-89,18,9010000.0,0.0036503214040232903,0.16661536183115253
1176,0,-89,19,9510000.0,0.004390243939322321,0.20038840461308202
1176,0,-89,20,10010000.0,0.00548219090225088,0.2502292592096789
1176,0,-89,21,10510000.0,0.006360079017215698,0.29029960637442903
1176,0,-89,22,11010000.0,0.006650117880736744,0.30353814754436353
1176,0,-89,23,11510000.0,0.006939557988651713,0.3167493590983784
1176,0,-89,24,12010000.0,0.0072534364250869,0.33107603433305904
1176,0,-89,25,12510000.0,0.00738940976021743,0.33728240465628373
1176,0,-89,26,13010000.0,0.007650486027027198,0.3491989763346275
1176,0,-89,27,13510000.0,0.008204679189382507,0.3744945829539265
1176,0,-89,28,14010000.0,0.008748909436089218,0.39933544200117477
1176,0,-89,29,14510000.0,0.009555210869867149,0.4361382848921648
1176,0,-89,30,15010000.0,0.011088755567876914,0.5061354375980945
1176,0,-89,31,15510000.0,0.012406130768770701,0.566265744349271
1176,0,-89,32,16010000.0,0.013993359831132904,0.6387132675298113
1176,0,-89,33,16510000.0,0.015408373243821234,0.703300175272003
1176,0,-89,34,17010000.0,0.017799000186645795,0.8124180114830839
1176,0,-89,35,17510000.0,0.01951179036032669,0.8905966491817122
1176,0,-89,36,18010000.0,0.02120983147651262,0.9681020805296657
1176,0,-89,37,18510000.0,0.021908575999267425,0.9999955930729753
1212,10,-89,0,10000.0,0.0,0.0
1212,10,-89,1,510000.0,0.0,0.0
1212,10,-89,2,1010000.0,0.0,0.0
1212,10,-89,3,1510000.0,0.0,0.0
1212,10,-89,4,2010000.0,2.1203018064194234e-05,0.0009677910889667087
1212,10,-89,5,2510000.0,0.00035865593522886157,0.01637050051405991
1212,10,-89,6,3010000.0,0.000813092669308262,0.03711282221607611
1212,10,-89,7,3510000.0,0.0009975925159126976,0.045534137847600714
1212,10,-89,8,4010000.0,0.001328636170803096,0.06064430274449948
1212,10,-89,9,4510000.0,0.001670634296810537,0.07625447379615033
1212,10,-89,10,5010000.0,0.0021475974640634567,0.09802499257961651
1212,10,-89,11,5510000.0,0.00240359327852779,0.1097096719635263
1212,10,-89,12,6010000.0,0.002761061632262203,0.12602596647803135
1212,10,-89,13,6510000.0,0.00284233320734075,0.129735528291787
